@relation children

@attribute class {5,6,7,8,9}
@attribute sex {1,0}
@attribute RPG {1,0}
@attribute quest {1,0}
@attribute shooter {1,0}
@attribute arcade {1,0}
@attribute stratigy {1,0}
@attribute simulator {1,0}
@attribute logical {1,0}
@attribute online {1,0}
@attribute games {1,0}
@attribute gameHours numeric
@attribute sosialHours numeric
@attribute sosial {1,0}
@attribute video {1,0}
@attribute information {1,0}
@attribute news {1,0}
@attribute music {1,0}
@attribute films {1,0}
@attribute onlineHours numeric
@attribute totalHours numeric
@attribute azExtravers numeric
@attribute azNeirotizm numeric
@attribute VND {сангвиник, холерик, меланхолик, флегматик}
@attribute spSituation numeric
@attribute spPersonal numeric
@attribute dminL numeric
@attribute dmaxL numeric
@attribute drashL numeric
@attribute dminR numeric
@attribute dmaxR numeric
@attribute drashR numeric
@attribute min {1,0}
@attribute max {1,0}
@attribute rash {1,0}
@attribute red+ numeric
@attribute green+ numeric
@attribute blue+ numeric
@attribute red- numeric
@attribute green- numeric
@attribute blue- numeric
@attribute red {1,0}
@attribute green {1,0}
@attribute blue {1,0}
@attribute mark numeric
@attribute sleepHours numeric
@attribute hardtofall {1,0}
@attribute hardtoawake {1,0}
@attribute enoughsleep {1,0}
@attribute awakeatnight {1,0}
@attribute insomnia {1,0}

@data
8,0,0,0,1,0,1,1,0,1,1,14,23.5,1,1,1,0,1,1,41,78.5,8,16,меланхолик,28,43,230,920,2921,253,805,2231,1,0,0,3,7,4,0,2,1,0,1,0,4.3,8,1,0,1,0,0
9,1,1,0,1,0,0,0,0,1,1,28,48,1,1,1,0,1,1,37,113,15,11,сангвиник,35,41,276,1127,2208,276,644,1610,1,0,0,4,4,4,1,3,2,1,1,1,3,9,0,0,1,0,0
9,0,0,0,0,0,0,0,0,0,0,0,70,1,0,1,0,0,1,91,161,12,15,холерик,43,39,207,506,2185,207,598,2645,1,1,1,4,5,4,2,2,2,0,1,0,3.9,8,0,0,0,0,0
9,1,0,0,1,0,0,0,0,0,1,24,24.36,1,0,0,0,1,1,34.54,82.9,14,11,сангвиник,48,48,?,?,?,?,?,?,1,1,1,3,5,3,1,2,0,0,1,0,3.8,5,1,1,0,0,1
9,0,0,1,0,1,0,0,1,1,1,93,78,1,1,1,1,1,1,78,249,16,14,сангвиник,39,52,230,805,1587,322,759,1403,1,0,0,6,13,5,1,1,1,0,1,0,3.9,8,0,0,1,0,0
9,1,1,0,1,0,1,0,0,1,1,12,9.2,1,1,1,0,1,1,20,41.2,7,16,меланхолик,39,37,161,460,1311,276,552,1242,1,1,0,5,16,14,2,7,7,0,1,0,3.3,7,0,1,0,0,0
9,0,0,1,0,0,0,1,0,0,1,12,17.5,1,1,0,0,0,0,17.5,47,11,14,флегматик,58,43,230,874,2369,207,828,1725,0,0,0,3,3,2,1,2,2,1,1,0,4,8,1,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,20,1,1,0,1,0,0,42,62,7,12,флегматик,59,68,276,851,2825,276,989,2944,1,1,1,2,12,12,0,11,9,0,1,1,3.7,8,1,1,0,0,0
9,0,0,0,0,0,0,1,0,0,1,1.5,10.56,1,0,0,0,1,0,70,82.06,9,12,флегматик,38,40,345,782,1909,345,782,1748,1,1,0,4,15,4,0,5,0,0,1,0,3.4,7,1,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,1,1,28,49,13,11,сангвиник,26,45,253,644,3772,253,736,3588,1,1,0,12,26,21,10,16,11,0,1,0,3.8,7,1,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,28.5,1,1,0,0,1,1,49,77,13,15,холерик,52,58,115,552,1932,322,1104,2760,1,1,1,4,5,4,2,2,2,0,1,0,?,10,0,1,0,1,0
9,1,0,0,0,0,0,0,0,0,0,0,7,1,0,1,0,1,1,21,28,7,13,флегматик,32,37,138,368,3082,184,414,1909,1,1,0,4,4,2,0,1,0,1,1,0,3.8,9,0,0,1,0,0
9,1,0,0,1,0,0,0,0,1,1,10,100,1,1,1,0,1,0,39,149,9,15,меланхолик,48,37,161,414,1909,253,483,920,1,1,0,5,6,4,1,2,1,0,1,0,4.9,8,0,0,0,0,0
9,1,0,0,1,0,1,0,0,1,1,56.8,21.32,1,1,0,0,0,0,50,128.12,13,14,сангвиник,34,38,253,805,2070,230,713,1587,0,0,0,4,7,15,0,0,7,0,?,1,3.4,7,0,0,1,0,0
9,0,0,0,0,0,0,0,0,0,0,0,64,1,1,1,0,0,0,82,146,10,13,флегматик,32,39,322,897,2829,414,1104,2116,1,1,0,7,18,15,1,3,8,0,1,0,3.8,9,0,0,1,0,0
8,1,0,1,0,0,0,1,0,1,1,7,21,1,0,1,1,1,1,45.5,73.5,16,12,сангвиник,44,40,276,575,1012,276,690,1127,1,1,1,3,5,2,1,2,0,0,1,0,?,9,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,35,1,0,1,0,0,1,77,112,13,15,холерик,28,39,506,1288,2231,483,782,1794,0,0,0,8,16,15,2,12,8,0,1,0,?,9,0,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,130,1,0,0,0,1,1,159,289,13,13,сангвиник,51,45,115,506,1656,115,552,1219,1,1,0,8,16,14,0,9,9,0,1,0,4.2,6,1,1,1,1,1
9,1,1,0,1,1,1,1,0,1,1,12,3.5,1,1,0,1,1,1,42,57.5,7,7,флегматик,46,68,115,667,1426,253,552,1587,1,0,1,2,3,4,1,0,1,0,0,1,5,7,1,1,1,0,1
9,0,0,0,0,0,0,0,1,1,1,10,63,1,0,1,1,0,0,63,136,5,13,флегматик,29,44,368,828,1610,667,1587,2024,1,1,1,9,18,10,0,7,1,0,1,0,3.6,10,1,1,0,1,1
9,0,0,0,0,0,0,1,0,0,1,14,46,1,0,1,0,1,1,21,81,14,16,холерик,69,41,391,1127,2208,391,920,1449,1,0,0,4,5,3,0,1,0,0,1,0,3.4,9,1,1,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,0,1,1,59.5,108.5,13,16,холерик,38,42,322,667,1058,414,815,1518,1,1,1,8,9,13,2,2,8,0,0,1,4.5,9,0,0,0,0,0
