@relation children

@attribute year {2012,2013,2014,2015}
@attribute class {5,6,7,8,9}
@attribute sex {male, female}
@attribute RPG {no,yes}
@attribute quest {no,yes}
@attribute shooter {no,yes}
@attribute arcade {no,yes}
@attribute strategy {no,yes}
@attribute simulation {no,yes}
@attribute logical {no,yes}
@attribute online-games {no,yes}
@attribute games {no,yes}
@attribute gameHours numeric
@attribute sosialHours numeric
@attribute sosialsites {no,yes}
@attribute watch_video {no,yes}
@attribute search_information {no,yes}
@attribute read_news {no,yes}
@attribute listen_music {no,yes}
@attribute watch_films {no,yes}
@attribute onlineHours numeric
@attribute totalHours numeric
@attribute azExtravers numeric
@attribute azNeirotizm numeric
@attribute VND {сангвиник, холерик, меланхолик, флегматик}
@attribute spSituation numeric
@attribute spPersonal numeric
@attribute dminL numeric
@attribute dmaxL numeric
@attribute drashL numeric
@attribute dminR numeric
@attribute dmaxR numeric
@attribute drashR numeric
@attribute min {left,right}
@attribute max {left,right}
@attribute rash {left,right}
@attribute red+ numeric
@attribute green+ numeric
@attribute blue+ numeric
@attribute red- numeric
@attribute green- numeric
@attribute blue- numeric
@attribute red {0,1}
@attribute green {0,1}
@attribute blue {0,1}
@attribute awerage_mark numeric
@attribute sleepHours numeric
@attribute hardtofall {no,yes}
@attribute hardtoawake {no,yes}
@attribute enoughsleep {no,yes}
@attribute awakeatnight {no,yes}
@attribute insomnia {no,yes}

@data
2015,8,female,no,no,yes,no,yes,yes,no,yes,yes,14,23.5,yes,yes,yes,no,yes,yes,41,78.5,8,16,меланхолик,28,43,230,920,2921,253,805,2231,right,left,left,3,7,4,0,2,1,0,1,0,4.3,8,yes,no,yes,no,no									
2015,9,male,yes,no,yes,no,no,no,no,yes,yes,28,48,yes,yes,yes,no,yes,yes,37,113,15,11,сангвиник,35,41,276,1127,2208,276,644,1610,right,left,left,4,4,4,1,3,2,1,1,1,3,9,no,no,yes,no,no									
2015,9,female,no,no,no,no,no,no,no,no,no,0,70,yes,no,yes,no,no,yes,91,161,12,15,холерик,43,39,207,506,2185,207,598,2645,right,right,right,4,5,4,2,2,2,0,1,0,3.9,8,no,no,no,no,no									
2015,9,male,no,no,yes,no,no,no,no,no,yes,24,24.36,yes,no,no,no,yes,yes,34.54,82.9,14,11,сангвиник,48,48,?,?,?,?,?,?,right,right,right,3,5,3,1,2,0,0,1,0,3.8,5,yes,yes,no,no,yes									
2015,9,female,no,yes,no,yes,no,no,yes,yes,yes,68,30,yes,yes,yes,yes,yes,yes,35,133,16,14,сангвиник,39,52,230,805,1587,322,759,1403,right,left,left,6,13,5,1,1,1,0,1,0,3.9,8,no,no,yes,no,no									
2015,9,male,yes,no,yes,no,yes,no,no,yes,yes,12,9.2,yes,yes,yes,no,yes,yes,20,41.2,7,16,меланхолик,39,37,161,460,1311,276,552,1242,right,right,left,5,16,14,2,7,7,0,1,0,3.3,7,no,yes,no,no,no									
2015,9,female,no,yes,no,no,no,yes,no,no,yes,12,17.5,yes,yes,no,no,no,no,17.5,47,11,14,флегматик,58,43,230,874,2369,207,828,1725,left,left,left,3,3,2,1,2,2,1,1,0,4,8,yes,yes,no,no,no									
2015,9,female,no,no,no,no,no,no,no,no,no,0,20,yes,yes,no,yes,no,no,42,62,7,12,флегматик,59,68,276,851,2825,276,989,2944,right,right,right,2,12,12,0,11,9,0,1,1,3.7,8,yes,yes,no,no,no									
2015,9,female,no,no,no,no,no,yes,no,no,yes,1.5,10.56,yes,no,no,no,yes,no,70,82.06,9,12,флегматик,38,40,345,782,1909,345,782,1748,right,right,left,4,15,4,0,5,0,0,1,0,3.4,7,yes,yes,no,no,no									
2015,9,female,no,no,no,no,no,no,no,no,no,0,21,yes,no,no,no,yes,yes,28,49,13,11,сангвиник,26,45,253,644,3772,253,736,3588,right,right,left,12,26,21,10,16,11,0,1,0,3.8,7,yes,yes,no,no,no									
2015,9,female,no,no,no,no,no,no,no,no,no,0,28.5,yes,yes,no,no,yes,yes,49,77,13,15,холерик,52,58,115,552,1932,322,1104,2760,right,right,right,4,5,4,2,2,2,0,1,0,?,10,no,yes,no,yes,no									
2015,9,male,no,no,no,no,no,no,no,no,no,0,7,yes,no,yes,no,yes,yes,21,28,7,13,флегматик,32,37,138,368,3082,184,414,1909,right,right,left,4,4,2,0,1,0,1,1,0,3.8,9,no,no,yes,no,no									
2015,9,male,no,no,yes,no,no,no,no,yes,yes,10,70,yes,yes,yes,no,yes,no,35,115,9,15,меланхолик,48,37,161,414,1909,253,483,920,right,right,left,5,6,4,1,2,1,0,1,0,4.9,8,no,no,no,no,no									
2015,9,male,no,no,yes,no,yes,no,no,yes,yes,56.8,21.32,yes,yes,no,no,no,no,50,128.12,13,14,сангвиник,34,38,253,805,2070,230,713,1587,left,left,left,4,7,15,0,0,7,0,?,1,3.4,7,no,no,yes,no,no									
2015,9,female,no,no,no,no,no,no,no,no,no,0,64,yes,yes,yes,no,no,no,82,146,10,13,флегматик,32,39,322,897,2829,414,1104,2116,right,right,left,7,18,15,1,3,8,0,1,0,3.8,9,no,no,yes,no,no									
2015,8,male,no,yes,no,no,no,yes,no,yes,yes,7,21,yes,no,yes,yes,yes,yes,45.5,73.5,16,12,сангвиник,44,40,276,575,1012,276,690,1127,right,right,right,3,5,2,1,2,0,0,1,0,?,9,no,no,no,no,no									
2015,8,female,no,no,no,no,no,no,no,no,no,0,35,yes,no,yes,no,no,yes,77,112,13,15,холерик,28,39,506,1288,2231,483,782,1794,left,left,left,8,16,15,2,12,8,0,1,0,?,9,no,yes,no,no,no									
2015,9,female,no,no,no,no,no,no,no,no,no,0,71,yes,no,no,no,yes,yes,85,156,13,13,сангвиник,51,45,115,506,1656,115,552,1219,right,right,left,8,16,14,0,9,9,0,1,0,4.2,6,yes,yes,yes,yes,yes									
2015,9,male,yes,no,yes,yes,yes,yes,no,yes,yes,12,3.5,yes,yes,no,yes,yes,yes,42,57.5,7,7,флегматик,46,68,115,667,1426,253,552,1587,right,left,right,2,3,4,1,0,1,0,0,1,5,7,yes,yes,yes,no,yes									
2015,9,female,no,no,no,no,no,no,yes,yes,yes,10,63,yes,no,yes,yes,no,no,63,136,5,13,флегматик,29,44,368,828,1610,667,1587,2024,right,right,right,9,18,10,0,7,1,0,1,0,3.6,10,yes,yes,no,yes,yes									
2015,9,female,no,no,no,no,no,yes,no,no,yes,14,46,yes,no,yes,no,yes,yes,21,81,14,16,холерик,69,41,391,1127,2208,391,920,1449,right,left,left,4,5,3,0,1,0,0,1,0,3.4,9,yes,yes,no,no,no									
2015,9,female,no,no,no,no,no,no,no,no,no,0,49,yes,no,no,no,yes,yes,59.5,108.5,13,16,холерик,38,42,322,667,1058,414,815,1518,right,right,right,8,9,13,2,2,8,0,0,1,4.5,9,no,no,no,no,no									
2015,9,male,no,no,yes,no,no,no,no,no,yes,9,8,yes,yes,no,no,no,no,29,46,13,12,сангвиник,27,36,207,506,1334,161,690,1656,left,right,right,8,14,15,0,1,10,0,0,1,3.8,9,no,no,yes,no,no									
2015,9,male,no,no,yes,no,no,no,no,no,yes,14,21,yes,no,no,no,yes,yes,4.5,39.5,11,12,флегматик,40,39,138,483,1288,92,460,1587,left,left,right,4,5,3,0,0,0,0,1,0,3.6,8,no,yes,yes,no,no					0				
2015,9,female,no,no,no,no,no,no,no,no,no,0,39,yes,yes,yes,yes,yes,yes,59,98,11,12,флегматик,43,56,207,805,2116,138,437,1633,left,left,left,8,18,15,2,11,10,0,1,0,4.4,7,no,no,no,no,no									
2015,9,male,no,no,yes,no,yes,no,no,yes,yes,16,10,yes,no,yes,yes,no,no,60.5,86.5,11,15,меланхолик,40,40,69,414,1150,184,644,2254,right,right,right,7,16,15,1,2,10,0,1,0,4.1,7,no,yes,yes,no,no									
2015,9,male,no,no,yes,yes,no,yes,no,no,yes,21,14,yes,no,no,no,no,yes,28,63,10,11,флегматик,52,52,207,667,2024,138,667,1725,left,right,left,6,15,15,1,4,10,0,1,1,3.7,10,no,yes,yes,no,no									
2014,6,male,no,no,no,yes,no,yes,no,yes,yes,7.5,0,no,yes,no,no,yes,yes,9,16.5,15,12,сангвиник,35,28,337,1050,2568,491,1089,2622,right,right,left,17,28,24,11,17,16,0,1,0,3.4,7,no,yes,yes,no,no									
2014,6,male,no,yes,yes,no,yes,no,no,yes,yes,56,19.6,yes,no,yes,yes,yes,yes,22.96,98.56,15,18,холерик,40,?,552,989,2967,437,1449,4313,left,right,left,10,22,18,4,9,10,0,1,0,3.7,?,no,no,no,no,no									
2014,6,female,no,no,no,no,no,no,yes,yes,yes,8.75,0,no,yes,no,no,no,no,5.25,14,18,13,сангвиник,37,40,253,767,3220,368,805,2990,right,right,right,12,21,20,6,12,12,0,1,0,3.5,?,?,?,?,?,?									
2014,6,female,no,no,no,yes,no,no,no,yes,yes,28,3.5,yes,yes,yes,no,yes,yes,73.5,105,10,15,меланхолик,63,46,242,1012,2818,242,782,3416,left,left,left,12,21,24,5,22,15,0,0,1,4.3,9,?,?,?,?,?									
2014,7,male,no,no,yes,no,no,no,no,no,yes,21,14,yes,no,no,no,no,no,0,35,18,7,сангвиник,33,38,376,889,3197,399,874,2975,right,left,right,8,10,9,6,8,6,0,1,0,3.3,7.5,yes,no,no,no,no									
2014,7,female,no,no,no,no,no,no,no,no,no,0,31.85,yes,yes,yes,yes,yes,yes,49.56,81.41,19,15,холерик,38,44,311,725,3669,368,713,3074,right,left,right,5,17,16,1,13,7,0,1,0,4.1,7,no,yes,yes,no,no									
