@relation children

@attribute class numeric
@attribute sex {1,0}
@attribute RPG {1,0}
@attribute shooter {1,0}
@attribute fighting {1,0}
@attribute stratigy {1,0}
@attribute simulator {1,0}
@attribute logical {1,0}
@attribute gameHours numeric
@attribute sosialHours numeric
@attribute films {1,0}
@attribute music {1,0}
@attribute information {1,0}
@attribute documents {1,0}
@attribute onlineHours numeric
@attribute totalHours numeric
@attribute azExtravers numeric
@attribute azNeirotizm numeric
@attribute azLie numeric
@attribute VND {сангвиник, холерик, меланхолик, флегматик}
@attribute spSituation numeric
@attribute spPersonal numeric
@attribute dminL numeric
@attribute dmaxL numeric
@attribute drashL numeric
@attribute dminR numeric
@attribute dmaxR numeric
@attribute drashR numeric
@attribute Amin numeric
@attribute Amax numeric
@attribute Arash numeric
@attribute Acommon numeric
@attribute WR numeric
@attribute WL numeric
@attribute AsW numeric
@attribute min {1,0}
@attribute max {1,0}
@attribute rash {1,0}
@attribute W {1,0}
@attribute red numeric
@attribute green numeric
@attribute blue numeric
@attribute difficit {1,0}
@attribute mark numeric
@attribute sleepHours numeric
@attribute hardtofall {1,0}
@attribute hardtoawake {1,0}
@attribute enoughsleep {1,0}
@attribute awakeatnight {1,0}
@attribute insomnia {1,0}

@data
5,1,0,1,1,0,0,0,2,2,1,0,0,0,6,10,15,12,5,сангвиник,33,47,?,?,?,483,1196,2576,?,?,?,?,?,2880.882,?,?,?,?,?,20,21,21,0,3.38,?,?,?,?,?,?
5,1,0,0,0,0,0,0,0,5.5,0,0,1,1,0.5,6,16,12,4,сангвиник,31,37,483,1035,1748,207,943,4117,-0.4,-0.047,0.404,0.57,2088.066,4228.686,0.339,0,1,1,1,3,12,4,0,3.85,?,?,?,?,?,?
5,0,0,0,0,0,1,1,7,0,1,0,0,0,3,10,15,15,4,холерик,32,34,230,897,2116,437,1219,1978,0.9,0.359,-0.065,0.971,2309.754,2364.194,0.024,1,1,0,1,3,9,4,1,3.77,?,?,?,?,?,?
5,0,0,1,0,0,0,0,11.5,4.5,0,0,1,1,2,18,16,15,1,холерик,31,41,184,851,3565,345,805,2530,0.875,-0.054,-0.29,0.923,3669.78,2677.303,-0.27,1,0,0,0,8,14,8,1,4.35,?,?,?,?,?,?
6,1,0,0,0,0,1,0,7,7,0,0,0,0,2,16,21,8,3,сангвиник,35,31,414,1058,4393,391,1219,3013,-0.029,0.071,-0.186,0.201,4537.533,3273.685,-0.162,0,1,0,0,4,11,6,0,4.13,?,?,?,?,?,?
6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,16,20,2,холерик,58,56,276,713,2024,345,598,1518,0.111,-0.088,-0.143,0.201,2163.59,1667.619,-0.129,1,0,0,0,5,11,5,0,4.2,?,?,?,?,?,?
6,1,0,0,0,0,0,0,0,10,0,0,0,0,0,10,18,16,4,холерик,47,46,184,713,3082,322,943,2944,0.273,0.139,-0.023,0.307,3168.746,3108.065,-0.01,1,1,0,0,5,12,4,0,4.53,?,?,?,?,?,?
6,0,0,0,0,0,0,1,1,8.5,0,0,1,0,0.5,10,16,14,3,сангвиник,36,33,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5,11,5,1,4.33,?,?,?,?,?,?
6,1,0,0,1,0,0,0,26,4.5,1,0,1,1,3.5,34,20,9,4,сангвиник,40,42,230,644,1863,299,713,1518,0.13,0.051,-0.102,0.173,1984.542,1703.553,-0.076,1,1,0,0,5,10,6,0,3.4,?,?,?,?,?,?
6,0,0,0,0,0,1,0,12,3,0,0,1,1,3,18,19,12,5,сангвиник,36,44,207,851,3335,368,989,2553,0.28,0.075,-0.133,0.319,3448.083,2762.491,-0.11,1,1,0,0,4,6,3,1,4.33,?,?,?,?,?,?
6,0,0,0,0,0,0,0,0,9,0,1,1,1,3,12,20,12,3,сангвиник,52,46,276,828,2185,368,1196,1886,0.143,0.182,-0.073,0.243,2352.867,2263.368,-0.019,1,1,0,0,8,8,5,1,3.9,?,?,?,?,?,?
6,0,1,0,0,0,1,0,5,0,0,0,0,0,0,5,18,18,2,холерик,35,44,230,621,2622,322,897,2507,0.167,0.182,-0.022,0.248,2704.334,2682.041,-0.004,1,1,0,0,4,6,4,1,3.8,?,?,?,?,?,?
6,0,0,0,0,0,1,0,2,3,0,0,0,1,2,7,16,16,5,холерик,31,35,207,667,1633,322,644,1794,0.217,-0.018,0.047,0.223,1776.071,1933.095,0.042,1,0,1,1,6,14,6,1,4.93,?,?,?,?,?,?
6,1,0,1,0,0,0,0,20,3.5,0,1,1,0,5,28.5,12,18,5,холерик,61,59,345,1081,3473,230,621,3726,-0.2,-0.27,0.035,0.338,3653.671,3784.391,0.018,0,0,1,1,2,4,2,0,3.97,?,?,?,?,?,?
6,0,0,1,0,0,0,0,1,3.5,0,0,1,1,2.5,7,8,19,3,меланхолик,51,51,299,1035,2162,253,713,2093,-0.083,-0.184,-0.016,0.203,2415.548,2225.54,-0.041,0,0,0,0,3,5,3,1,3.37,?,?,?,?,?,?
6,1,0,1,1,0,0,0,7,22,0,0,1,1,1,30,17,12,0,сангвиник,46,44,345,897,2116,322,851,2323,-0.034,-0.026,0.047,0.064,2324.025,2494.837,0.035,0,0,1,1,5,8,15,1,3.7,?,?,?,?,?,?
6,0,0,0,0,0,0,0,0,18,0,0,1,1,5,23,22,18,4,холерик,65,53,253,644,3036,115,759,2323,-0.375,0.082,-0.133,0.406,3113.847,2446.556,-0.12,0,1,0,0,2,4,3,1,4.57,?,?,?,?,?,?
6,1,0,0,0,1,0,0,9.5,0,0,0,0,0,0,9.5,17,9,3,сангвиник,37,43,?,?,?,184,759,3404,?,?,?,?,?,3492.442,?,?,?,?,?,5,13,5,0,4.97,?,?,?,?,?,?
6,1,0,0,0,0,1,0,7.5,6,1,0,1,1,3.5,17,17,12,5,сангвиник,45,55,276,1035,3266,184,897,2852,-0.2,-0.071,-0.068,0.223,3437.173,2995.391,-0.069,0,0,0,0,4,6,3,0,4.03,?,?,?,?,?,?
6,0,0,0,0,0,1,0,3,1,0,0,0,0,0,4,22,20,5,холерик,44,47,368,989,1840,506,920,2461,0.158,-0.036,0.144,0.217,2121.119,2675.623,0.116,1,0,1,1,8,17,14,1,3.64,?,?,?,?,?,?
6,1,1,0,0,0,0,0,18.5,3.5,0,1,1,1,1,23,6,20,3,меланхолик,56,56,?,?,?,322,874,3473,?,?,?,?,?,3595.732,?,?,?,?,?,4,10,4,0,5,?,?,?,?,?,?
